Gender,Partner,Dependents,Subscription Type,Contract Type,Paperless Billing,Device Protection,Tech Support,Online Security,Payment Method_Electronic check,Payment Method_Mailed check,Payment Method_Bank transfer,Payment Method_Credit card,Age,Tenure,Monthly Charges,Total Charges,Support Tickets,Login Frequency,Usage Hours,Senior Citizen,Churn
1,0,1,0,1,1,0,0,0,True,False,False,False,1.0423379883177417,0.09151704870562535,-1.283324142218653,-0.5620544526330169,-1.012736337968183,1.243824275725608,1.5465758430748298,-0.43830627417330975,0
0,1,1,1,1,1,0,0,0,False,True,False,False,0.3697910182548171,1.0933927804604093,0.7933935335270381,1.5724463241456597,-1.012736337968183,0.3334472796813246,-0.3268598356614499,-0.43830627417330975,0
1,0,1,1,1,0,0,1,0,False,True,False,False,-0.41484711348526165,-0.5183203532320693,1.9031606879814322,0.11105665962129398,0.6346657780476564,-0.7286592157036725,-0.30497390483509146,-0.43830627417330975,1
1,1,0,0,0,0,0,0,0,False,True,False,False,-1.1994852452253404,-0.1698418378391009,-0.06991698713966657,-0.16527433095969934,0.6346657780476564,-1.0321182143851002,-1.3161039090128497,-0.43830627417330975,0
1,1,0,0,0,1,1,0,0,False,True,False,False,0.03351753322335479,1.833909625670467,-0.4566971956561852,0.9874187601391371,-0.46360229929623653,1.6990127737477494,2.66713550138438,-0.43830627417330975,0
0,0,1,0,1,1,0,0,0,False,False,False,True,1.1544291499948958,-0.7796792397767954,-0.2629509401930302,-0.6838544564954518,0.6346657780476564,0.3334472796813246,0.7871340434001928,2.281509663273933,1
1,1,0,1,0,1,1,0,0,False,True,False,False,-0.9192573410324552,-0.8667988686250375,1.4704369740333938,-0.4773370135828815,0.6346657780476564,-1.0321182143851002,-0.67922332196582,-0.43830627417330975,1
1,1,0,0,1,1,0,0,0,False,False,True,False,0.31374543741624006,0.48355537852271474,-0.12975038956211143,0.313632211499771,-1.012736337968183,1.5472832744070357,0.6229895622025048,-0.43830627417330975,0
1,1,0,1,0,0,0,0,1,False,True,False,False,-0.6390294368395698,0.832033893915683,0.5423069340757071,1.0938553544234695,-1.012736337968183,-0.12174121834081701,-0.6682803565526408,-0.43830627417330975,0
0,0,0,1,1,1,0,0,0,True,False,False,False,-1.5918043110953797,-0.5183203532320693,1.7806446734973786,0.07677549489783043,0.08553173937570997,-0.12174121834081701,-0.6617145773047334,-0.43830627417330975,0
1,0,1,1,1,0,0,0,0,False,False,False,True,0.31374543741624006,-0.9539184974732796,1.1474078311931704,-0.6343372185615601,-0.46360229929623653,-0.8803887150443864,-1.066604297592364,-0.43830627417330975,1
1,0,1,0,1,0,1,0,0,False,False,True,False,1.7148849583806665,0.8755937083398041,-0.512969086029675,0.31762946617198357,-0.46360229929623653,0.6369062783627524,1.2270412530099972,-0.43830627417330975,0
1,1,0,1,0,1,0,1,1,False,True,False,False,1.4346570541877812,0.30931612082623056,1.6951683843224572,1.2291031859850796,-0.46360229929623653,0.7886357777034663,1.021313503242228,2.281509663273933,0
1,1,1,1,1,1,0,1,0,True,False,False,False,0.4818821799319712,1.7032301823981038,1.2464178661541208,2.728815560815617,-1.012736337968183,1.6990127737477494,2.702152990706553,-0.43830627417330975,0
0,0,0,0,1,0,1,0,1,True,False,False,False,-1.3115764069024944,1.3983114814292565,-1.1476305331534653,0.03693582090719034,-1.012736337968183,1.6990127737477494,0.40194166085628497,-0.43830627417330975,0
1,0,0,0,0,0,0,0,0,True,False,False,False,0.4818821799319712,-0.9539184974732796,-0.7754525240376623,-0.8734638443263915,0.08553173937570997,-1.0321182143851002,-0.6748461358005483,-0.43830627417330975,0
0,0,0,0,0,1,0,1,0,False,True,False,False,0.7060645032862795,1.2676320381568935,-0.30568908478049095,0.7559766073452631,-1.012736337968183,0.7886357777034663,1.4262032235298585,-0.43830627417330975,0
0,0,0,0,1,1,0,0,0,False,False,False,True,1.378611473349204,-0.9974783118974007,-1.004457748785472,-0.9218848822255213,-1.012736337968183,0.9403652770441802,0.7740024849043778,2.281509663273933,0
0,0,0,1,1,0,1,1,0,False,False,False,True,-0.4708926943238387,1.5725507391257407,0.7919689287074559,2.0977697408043414,-0.46360229929623653,1.6990127737477494,0.3143979375508513,-0.43830627417330975,0
1,1,0,1,0,1,0,0,0,False,False,True,False,0.4818821799319712,0.832033893915683,1.280252230619194,1.6559512995209826,-0.46360229929623653,0.18171778034061073,0.41945040551737195,-0.43830627417330975,0
0,0,0,0,1,1,1,1,1,False,True,False,False,-1.1434396643867633,-0.0827222089908588,-0.5874046878528357,-0.3215769540980749,0.08553173937570997,-0.12174121834081701,0.08678425695672412,-0.43830627417330975,0
1,1,0,0,1,1,0,0,0,True,False,False,False,0.8181556649634335,0.17863667755386745,-1.0276075771036801,-0.3956867200845547,-1.012736337968183,1.6990127737477494,2.636495198227478,-0.43830627417330975,0
0,1,0,1,1,0,0,0,1,False,True,False,False,-1.3115764069024944,-1.1281577551697637,1.8116298283232877,-0.8066067149335384,0.6346657780476564,-0.27347071768153086,0.24874014507177614,-0.43830627417330975,0
0,1,0,0,0,1,0,0,0,False,False,True,False,-0.13461920929237636,-1.2152773840180058,-0.572090186042329,-1.0081525031429968,-0.46360229929623653,-0.8803887150443864,-0.7098636251227219,-0.43830627417330975,0
0,1,1,0,0,1,1,0,0,False,True,False,False,-0.07857362845379932,-0.6925596109285533,-1.6462422200071727,-0.9219623913188882,-1.012736337968183,0.6369062783627524,-0.226184553860201,-0.43830627417330975,0
0,0,1,0,0,1,0,0,0,False,True,False,False,1.378611473349204,1.1805124093086514,-0.46382021975409515,0.5542536554938231,-0.46360229929623653,0.7886357777034663,-0.2502590777691954,2.281509663273933,0
0,1,0,1,1,0,0,0,0,False,True,False,False,1.6027937967035122,-0.38764090995970607,1.4455063896907083,0.15708045198985865,0.6346657780476564,-0.27347071768153086,0.3647355784514759,-0.43830627417330975,1
0,0,0,1,1,1,1,0,0,False,False,True,False,-1.1994852452253404,-0.9103586830491586,1.470080822828498,-0.5358010154368502,-1.012736337968183,-1.0321182143851002,-0.9177799679731268,-0.43830627417330975,1
0,1,0,0,1,0,1,1,0,False,False,False,True,0.42583659909339416,1.3111918525810144,-0.9122145867175364,0.22107528129194418,-1.012736337968183,1.243824275725608,1.4130716650340436,-0.43830627417330975,0
0,0,0,0,0,1,1,0,0,False,False,True,False,-0.19066479013095344,-0.9103586830491586,-1.1843141072577024,-0.9071636908496024,-1.012736337968183,-0.5769297163629586,-0.2130529953643861,-0.43830627417330975,0
1,0,1,0,1,0,0,1,1,False,False,False,True,0.9862924074791647,1.1369525948845303,-0.6643333481102647,0.35135699451425423,-1.012736337968183,0.18171778034061073,0.2553059243196839,-0.43830627417330975,0
1,1,0,0,0,0,0,0,1,False,False,True,False,0.257699856577663,-0.4312007243838271,-0.5806378149598209,-0.5308736516442336,0.6346657780476564,-1.4873067124072419,-1.0009465051132886,-0.43830627417330975,0
0,0,0,1,1,1,0,0,0,False,True,False,False,1.6588393775420893,-0.38764090995970607,1.5039151872935712,0.17614768895814142,-0.46360229929623653,-0.42520021702224475,-0.983437760452202,2.281509663273933,1
0,1,0,0,1,1,1,1,0,False,False,True,False,-1.0313485027096092,-0.8232390542009165,-0.5040653059072874,-0.7565524497098897,-1.012736337968183,0.029988280999896862,0.4675994533353602,-0.43830627417330975,0
0,0,0,0,1,1,1,0,1,False,True,False,False,0.03351753322335479,1.833909625670467,-0.09484757148235178,1.3924148457093568,-0.46360229929623653,1.6990127737477494,2.1615704992955007,-0.43830627417330975,0
1,1,0,0,0,1,1,1,0,False,True,False,False,0.257699856577663,-1.1281577551697637,-0.06956083593477087,-0.9235790095519715,1.1837998167196029,-1.183847713725814,-1.2810864196906762,-0.43830627417330975,1
0,1,0,0,0,0,1,0,0,False,False,False,True,0.31374543741624006,-1.0410381263215216,-0.6757301866669209,-0.911166481885627,1.1837998167196029,-1.0321182143851002,-1.2898407920212198,-0.43830627417330975,1
1,0,0,1,0,1,0,0,0,True,False,False,False,-0.30275595180810755,0.17863667755386745,0.5789905081799441,0.45344754320622244,-0.46360229929623653,0.3334472796813246,0.5442002112276146,-0.43830627417330975,1
1,0,0,0,0,0,1,0,0,True,False,False,False,-0.5269382751624158,1.4418712958533777,-0.13473650643064852,1.0466135620162802,0.08553173937570997,1.3955537750663218,0.798077008813372,-0.43830627417330975,0
1,1,0,0,1,1,0,1,0,False,False,True,False,-1.5357587302568028,-1.1281577551697637,-0.3747824185302189,-0.9425576646992636,0.08553173937570997,-1.0321182143851002,-1.4014590392356474,-0.43830627417330975,1
1,1,1,1,1,1,0,0,1,True,False,False,False,-0.022528047615222268,0.6142348217950778,0.5672375184183925,0.8909753025353363,-0.46360229929623653,0.029988280999896862,-0.07298303807569217,-0.43830627417330975,0
1,0,0,0,1,1,1,0,0,True,False,False,False,-0.751120598516724,0.6577946362191989,-0.8064376788635713,-0.02556972652948654,-0.46360229929623653,-0.5769297163629586,-0.31591687024827064,-0.43830627417330975,0
0,1,0,0,0,1,0,0,1,False,False,False,True,0.3697910182548171,-0.03916239456673777,-1.226339949435372,-0.5831867533031494,-0.46360229929623653,-1.335577213066528,-0.7886529760976121,-0.43830627417330975,0
0,1,0,0,1,1,1,0,0,True,False,False,False,-0.41484711348526165,-0.3440810955355851,-1.6462422200071727,-0.8422387524271127,0.08553173937570997,0.18171778034061073,0.04082380222137128,-0.43830627417330975,0
0,1,0,0,0,1,0,0,1,True,False,False,False,1.378611473349204,-0.7361194253526744,-1.2060393307563282,-0.8429695524502873,0.08553173937570997,-0.42520021702224475,-0.8652537339898665,2.281509663273933,0
0,0,0,1,1,1,0,0,1,True,False,False,False,-0.4708926943238387,-0.6489997965044323,-0.04676715882145878,-0.5390397882668286,1.1837998167196029,-1.183847713725814,-1.090678821501358,-0.43830627417330975,0
0,1,0,0,0,0,0,0,1,False,True,False,False,-0.5269382751624158,0.30931612082623056,-0.4328350649281863,0.005151556262906709,-1.012736337968183,0.4851767790220385,0.9315811868541588,-0.43830627417330975,0
1,1,0,0,0,0,0,0,1,False,True,False,False,-1.6478498919339568,-1.1717175695938848,-0.6579226264221456,-0.985492166060772,1.7329338553915494,-0.7286592157036725,-1.1235077177408959,-0.43830627417330975,0
0,0,0,1,0,0,0,0,0,False,False,True,False,-0.022528047615222268,-0.03916239456673777,0.6477276907247764,0.2616512916695708,-0.46360229929623653,0.7886357777034663,0.02331505756028462,-0.43830627417330975,0
