Customer ID,Gender,Age,Senior Citizen,Partner,Dependents,Tenure,Subscription Type,Contract Type,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Support Tickets,Login Frequency,Usage Hours,Device Protection,Tech Support,Online Security,Churn
CUST-0001,Male,67,0,No,Yes,32,Basic,Monthly,Yes,Electronic check,28.19,902.08,0,27,183.4,No,No,No,No
CUST-0002,Female,55,0,Yes,Yes,55,Premium,Monthly,Yes,Mailed check,86.5,4757.5,0,21,97.8,No,No,No,No
CUST-0003,Male,41,0,No,Yes,18,Premium,Monthly,No,Mailed check,117.66,2117.88,3,14,98.8,No,Yes,No,Yes
CUST-0004,Male,27,0,Yes,No,26,Basic,Annual,No,Mailed check,62.26,1618.76,3,12,52.6,No,No,No,No
CUST-0005,Male,49,0,Yes,No,72,Basic,Annual,Yes,Mailed check,51.4,3700.8,1,30,234.6,Yes,No,No,No
CUST-0006,Female,69,1,No,Yes,12,Basic,Monthly,Yes,Credit card,56.84,682.08,3,21,148.7,No,No,No,Yes
CUST-0007,Male,32,0,Yes,No,10,Premium,Annual,Yes,Mailed check,105.51,1055.1,3,12,81.7,Yes,No,No,Yes
CUST-0008,Male,54,0,Yes,No,41,Basic,Monthly,Yes,Bank transfer,60.58,2483.78,0,29,141.2,No,No,No,No
CUST-0009,Male,37,0,Yes,No,49,Premium,Annual,No,Mailed check,79.45,3893.05,0,18,82.2,No,No,Yes,No
CUST-0010,Female,20,0,No,No,18,Premium,Monthly,Yes,Electronic check,114.22,,2,18,82.5,No,No,No,No
CUST-0011,Male,54,0,No,Yes,8,Premium,Monthly,No,Credit card,96.44,771.52,1,13,64.0,No,No,No,Yes
CUST-0012,Male,79,0,No,Yes,50,Basic,Monthly,No,Bank transfer,49.82,2491.0,1,23,168.8,Yes,No,No,No
CUST-0013,Male,74,1,Yes,No,37,Premium,Annual,Yes,Mailed check,111.82,4137.34,1,24,159.4,No,Yes,Yes,No
CUST-0014,Male,57,0,Yes,Yes,69,Premium,Monthly,Yes,Electronic check,99.22,6846.18,0,30,236.2,No,Yes,No,No
CUST-0015,Female,25,0,No,No,62,Basic,Monthly,No,Electronic check,32.0,1984.0,0,30,131.1,Yes,No,Yes,No
CUST-0016,Male,57,0,No,No,8,Basic,Annual,No,Electronic check,42.45,339.6,2,12,81.9,No,No,No,No
CUST-0017,Female,61,0,No,No,59,Basic,Annual,Yes,Mailed check,55.64,3282.76,0,24,177.9,No,Yes,No,No
CUST-0018,Female,73,1,No,No,7,Basic,Monthly,Yes,Credit card,36.02,252.14,0,25,148.1,No,No,No,No
CUST-0019,Female,40,0,No,No,66,Premium,Monthly,No,Credit card,86.46,5706.36,1,30,127.1,Yes,Yes,No,No
CUST-0020,Male,57,0,Yes,No,49,Premium,Annual,Yes,Bank transfer,100.17,4908.33,1,20,131.9,No,No,No,No
CUST-0021,Female,28,0,No,No,28,Basic,Monthly,Yes,Mailed check,47.73,1336.44,2,18,116.7,Yes,Yes,Yes,No
CUST-0022,Male,63,0,Yes,No,34,Basic,Monthly,Yes,Electronic check,35.37,1202.58,0,30,233.2,No,No,No,No
CUST-0023,Female,25,0,Yes,No,4,Premium,Monthly,No,Mailed check,115.09,460.36,3,17,124.1,No,No,Yes,No
CUST-0024,Female,46,0,Yes,No,2,Basic,Annual,Yes,Bank transfer,48.16,96.32,1,13,80.3,No,No,No,No
CUST-0025,Female,47,0,Yes,Yes,14,Basic,Annual,Yes,Mailed check,18.0,252.0,0,23,102.4,Yes,No,No,No
CUST-0026,Female,73,1,No,Yes,57,Basic,Annual,Yes,Mailed check,51.2,2918.4,1,24,101.3,No,No,No,No
CUST-0027,Female,77,0,Yes,No,21,Premium,Monthly,No,Mailed check,104.81,2201.01,3,17,129.4,No,No,No,Yes
CUST-0028,Female,27,0,No,No,9,Premium,Monthly,Yes,Bank transfer,105.5,949.5,0,12,70.8,Yes,No,No,Yes
CUST-0029,Female,56,0,Yes,No,60,Basic,Monthly,No,Credit card,38.61,2316.6,0,27,177.3,Yes,Yes,No,No
CUST-0030,Female,45,0,No,No,9,Basic,Annual,Yes,Bank transfer,30.97,278.73,0,15,103.0,Yes,No,No,No
CUST-0031,Male,66,0,No,Yes,56,Basic,Monthly,No,Credit card,45.57,2551.92,0,20,124.4,No,Yes,Yes,No
CUST-0032,Male,53,0,Yes,No,20,Basic,Annual,No,Bank transfer,47.92,958.4,3,9,67.0,No,No,Yes,No
CUST-0033,Female,78,1,No,No,21,Premium,Monthly,Yes,Mailed check,106.45,2235.45,1,16,67.8,No,No,No,Yes
CUST-0034,Female,30,0,Yes,No,11,Basic,Monthly,Yes,Bank transfer,50.07,550.77,0,19,134.1,Yes,Yes,No,No
CUST-0035,Female,49,0,No,No,72,Basic,Monthly,Yes,Mailed check,61.56,4432.32,1,30,211.5,Yes,No,Yes,No
CUST-0036,Male,53,0,Yes,No,4,Basic,Annual,Yes,Mailed check,62.27,249.08,4,11,54.2,Yes,Yes,No,Yes
CUST-0037,Female,54,0,Yes,No,6,Basic,Annual,No,Credit card,45.25,271.5,4,12,53.8,Yes,No,No,Yes
CUST-0038,Male,43,0,No,No,34,Premium,Annual,Yes,Electronic check,80.48,2736.32,1,21,137.6,No,No,No,Yes
CUST-0039,Male,39,0,No,No,63,Basic,Annual,No,Electronic check,60.44,3807.72,2,28,149.2,Yes,No,No,No
